OBJECTID_1 *,Shape *,tmk_txt,OSDS Present,Newly Developed (2005 - 2021),500-ft Sewer Buffer,500-ft Coastline Buffer,WWTP 1-Mi Buffer,CEJST LIDAC,Sea Grant Priority,Island,AOI,Shape_Length,Shape_Area
384,Polygon,381020028,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001267,0
385,Polygon,381020029,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001575,0
386,Polygon,381020030,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001365,0
387,Polygon,381020035,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002067,0
388,Polygon,381020036,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001261,0
389,Polygon,381020037,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001154,0
390,Polygon,381020038,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001388,0
391,Polygon,381020039,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001241,0
392,Polygon,381020040,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001215,0
394,Polygon,381020045,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001399,0
396,Polygon,381025017,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.004659,0.000001
397,Polygon,381025018,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003473,0.000001
398,Polygon,381025019,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005624,0.000001
406,Polygon,381003069,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00131,0
407,Polygon,381003071,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002205,0
408,Polygon,381003072,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001442,0
409,Polygon,381003073,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002035,0
410,Polygon,381003075,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002675,0
415,Polygon,381002058,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005364,0.000002
418,Polygon,379010048,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003647,0.000001
